Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Sneha Kale,Consumer,India,Indore,Madhya Pradesh,593373,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Kavya Pawar,Consumer,India,Siliguri,West Bengal,325337,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
3,CA-2017-138688,6/12/2017,6/16/2017,Second Class,DV-13045,Riya Gupta,Corporate,India,Coimbatore,Tamil Nadu,260250,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
4,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO-20335,Atharva Nair,Consumer,India,Kolkata,West Bengal,331703,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO-20335,Priya Reddy,Consumer,India,New Delhi,Delhi,262757,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Nikhil Sharma,Consumer,India,Kochi,Kerala,366948,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
7,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Neha Nair,Consumer,India,Coimbatore,Tamil Nadu,317610,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
8,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Rohan Nair,Consumer,India,Mysuru,Karnataka,662639,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Neha Pawar,Consumer,India,New Delhi,Delhi,527920,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Meera Mehta,Consumer,India,Kochi,Kerala,624305,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Aditya Shah,Consumer,India,Coimbatore,Tamil Nadu,146302,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
